Date,Open,High,Low,Close,Adj Close,Volume
2021-06-09,0.003707,0.003810,0.003512,0.003805,0.003805,441464622
2021-06-10,0.003808,0.003816,0.003562,0.003605,0.003605,430937037
2021-06-11,0.003605,0.003674,0.003439,0.003475,0.003475,216149455
2021-06-12,0.003479,0.003539,0.003306,0.003369,0.003369,214744296
2021-06-13,0.003369,0.003608,0.003326,0.003528,0.003528,217083331
2021-06-14,0.003525,0.003590,0.003445,0.003561,0.003561,211707152
2021-06-15,0.003527,0.003581,0.003445,0.003537,0.003537,199444383
2021-06-16,0.003483,0.003499,0.003307,0.003334,0.003334,348450938
2021-06-17,0.003334,0.003404,0.003254,0.003342,0.003342,221125275
2021-06-18,0.003346,0.003346,0.003005,0.003090,0.003090,208258747
2021-06-19,0.003096,0.003111,0.002974,0.002983,0.002983,179033409
2021-06-20,0.002977,0.002978,0.002660,0.002919,0.002919,260576303
2021-06-21,0.002913,0.002927,0.002040,0.002063,0.002063,296707651
2021-06-22,0.002060,0.002324,0.001792,0.002140,0.002140,515976717
2021-06-23,0.002146,0.002462,0.002020,0.002313,0.002313,254177872
2021-06-24,0.002379,0.002655,0.002361,0.002591,0.002591,309291510
2021-06-25,0.002592,0.002690,0.002282,0.002342,0.002342,304740436
2021-06-26,0.002339,0.002420,0.002216,0.002388,0.002388,229039767
2021-06-27,0.002393,0.002499,0.002333,0.002494,0.002494,132498966
2021-06-28,0.002496,0.002629,0.002440,0.002580,0.002580,228049508
2021-06-29,0.002581,0.002893,0.002572,0.002779,0.002779,310901102
2021-06-30,0.002786,0.002841,0.002547,0.002781,0.002781,291961546
2021-07-01,0.002782,0.002796,0.002589,0.002644,0.002644,274988561
2021-07-02,0.002638,0.002671,0.002550,0.002662,0.002662,231242366
2021-07-03,0.002663,0.002714,0.002615,0.002698,0.002698,153398043
2021-07-04,0.002693,0.002797,0.002642,0.002734,0.002734,135912737
2021-07-05,0.002735,0.002748,0.002602,0.002642,0.002642,155189772
2021-07-06,0.002641,0.002741,0.002639,0.002678,0.002678,188945228
2021-07-07,0.002680,0.002721,0.002646,0.002646,0.002646,204689503
2021-07-08,0.002654,0.002657,0.002455,0.002494,0.002494,204159188
2021-07-09,0.002488,0.002566,0.002390,0.002547,0.002547,189935109
2021-07-10,0.002548,0.002588,0.002473,0.002502,0.002502,169037833
2021-07-11,0.002503,0.002545,0.002461,0.002526,0.002526,134325944
2021-07-12,0.002526,0.002552,0.002435,0.002469,0.002469,139442843
2021-07-13,0.002467,0.002475,0.002375,0.002391,0.002391,130413299
2021-07-14,0.002392,0.002401,0.002267,0.002374,0.002374,152101807
2021-07-15,0.002374,0.002401,0.002256,0.002284,0.002284,150402368
2021-07-16,0.002286,0.002330,0.002148,0.002167,0.002167,152402709
2021-07-17,0.002163,0.002284,0.002133,0.002241,0.002241,165516920
2021-07-18,0.002239,0.002304,0.002182,0.002215,0.002215,136113405
2021-07-19,0.002213,0.002222,0.002076,0.002088,0.002088,142356409
2021-07-20,0.002087,0.002121,0.001895,0.001954,0.001954,175615235
2021-07-21,0.001953,0.002147,0.001909,0.002120,0.002120,135564122
2021-07-22,0.002123,0.002164,0.002063,0.002164,0.002164,191133464
2021-07-23,0.002164,0.002209,0.002092,0.002205,0.002205,137803041
2021-07-24,0.002203,0.002302,0.002181,0.002250,0.002250,128670114
2021-07-25,0.002249,0.002319,0.002193,0.002291,0.002291,165019312
2021-07-26,0.002293,0.003025,0.002288,0.002587,0.002587,911057616
2021-07-27,0.002584,0.002912,0.002436,0.002791,0.002791,541579102
2021-07-28,0.002792,0.003025,0.002737,0.002792,0.002792,473076457
2021-07-29,0.002797,0.002856,0.002741,0.002817,0.002817,210252036
2021-07-30,0.002817,0.002877,0.002652,0.002877,0.002877,243822028
2021-07-31,0.002869,0.002895,0.002791,0.002844,0.002844,217983640
2021-08-01,0.002841,0.003068,0.002826,0.002857,0.002857,428192981
2021-08-02,0.002853,0.002936,0.002784,0.002889,0.002889,252398745
2021-08-03,0.002889,0.002975,0.002796,0.002920,0.002920,276760765
2021-08-04,0.002926,0.003208,0.002889,0.003176,0.003176,449328489
2021-08-05,0.003176,0.003546,0.003153,0.003438,0.003438,776916819
2021-08-06,0.003437,0.003843,0.003437,0.003825,0.003825,634402140
2021-08-07,0.003827,0.004080,0.003712,0.003904,0.003904,660589894
2021-08-08,0.003904,0.004065,0.003642,0.003712,0.003712,664084032
2021-08-09,0.003721,0.003919,0.003666,0.003866,0.003866,443023432
2021-08-10,0.003862,0.003958,0.003732,0.003891,0.003891,389079845
2021-08-11,0.003898,0.004734,0.003845,0.004442,0.004442,1362340714
2021-08-12,0.004440,0.004930,0.004297,0.004608,0.004608,1430952132
2021-08-13,0.004619,0.004877,0.004533,0.004854,0.004854,722970978
2021-08-14,0.004860,0.005007,0.004653,0.004832,0.004832,768177243
2021-08-15,0.004831,0.004903,0.004589,0.004817,0.004817,528487855
2021-08-16,0.004803,0.004949,0.004445,0.004606,0.004606,634183376
2021-08-17,0.004593,0.004666,0.004145,0.004200,0.004200,677092516
2021-08-18,0.004201,0.004359,0.003933,0.004224,0.004224,672452778
2021-08-19,0.004218,0.004407,0.004009,0.004407,0.004407,485120849
2021-08-20,0.004403,0.004555,0.004309,0.004522,0.004522,486777591
2021-08-21,0.004524,0.004524,0.004361,0.004375,0.004375,422900511
2021-08-22,0.004380,0.004502,0.004237,0.004351,0.004351,442580985
2021-08-23,0.004348,0.004592,0.004330,0.004488,0.004488,550661918
2021-08-24,0.004490,0.004532,0.004098,0.004176,0.004176,501064804
2021-08-25,0.004180,0.004300,0.004044,0.004267,0.004267,448370956
2021-08-26,0.004273,0.004357,0.003909,0.003963,0.003963,446067900
2021-08-27,0.003964,0.004279,0.003834,0.004279,0.004279,453121445
2021-08-28,0.004287,0.004287,0.004130,0.004200,0.004200,363032929
2021-08-29,0.004200,0.004437,0.004175,0.004215,0.004215,523958275
2021-08-30,0.004213,0.004248,0.004001,0.004013,0.004013,324798285
2021-08-31,0.004014,0.004374,0.003962,0.004210,0.004210,576085509
2021-09-01,0.004224,0.004461,0.004117,0.004430,0.004430,453220524
2021-09-02,0.004424,0.004833,0.004374,0.004720,0.004720,898167696
2021-09-03,0.004708,0.005343,0.004573,0.004874,0.004874,1743659237
2021-09-04,0.004871,0.004937,0.004690,0.004785,0.004785,646617824
2021-09-05,0.004785,0.005020,0.004686,0.004926,0.004926,651422262
2021-09-06,0.004930,0.005040,0.004626,0.004859,0.004859,714907059
2021-09-07,0.004858,0.004998,0.003419,0.003989,0.003989,1113965140
2021-09-08,0.003989,0.004183,0.003676,0.004108,0.004108,1075203653
2021-09-09,0.004027,0.004189,0.004001,0.004095,0.004095,463871605
2021-09-10,0.004097,0.004159,0.003784,0.003867,0.003867,569510838
2021-09-11,0.003864,0.003984,0.003841,0.003910,0.003910,625503995
2021-09-12,0.003916,0.004339,0.003834,0.004163,0.004163,723017796
2021-09-13,0.004162,0.004244,0.003772,0.003923,0.003923,419347550
2021-09-14,0.003923,0.004139,0.003889,0.004085,0.004085,516103178
2021-09-15,0.004083,0.004161,0.003998,0.004138,0.004138,423952624
2021-09-16,0.004136,0.004151,0.003971,0.004044,0.004044,323824782
2021-09-17,0.004044,0.004084,0.003884,0.003917,0.003917,292578231
2021-09-18,0.003918,0.004000,0.003880,0.003949,0.003949,202973538
2021-09-19,0.003946,0.003946,0.003798,0.003836,0.003836,273340278
2021-09-20,0.003831,0.003831,0.003271,0.003412,0.003412,454892800
